菜品标题,特点,原料,制作流程,已发布,发布时间
（四川成都弗斯达酒店天香阁酒楼特色菜品）铁板茄卷（附自制烧汁配方制法）,"特点：
铁板茄盒是一道老菜，吴总厨将盒变卷，造型新颖，便于食用。
菜品制作：
吴光华，川菜烹饪大师，擅长川菜粤菜厨房管理，现任成都弗斯达酒店天香阁酒楼行政总厨。","原料：
广东嫩线茄2个，肉馅15克。
调料：
自制烧汁20克。
自制烧汁配方制法：
福泉烧汁500克辣妹子酱100克蚝油100克排骨酱50克海鲜酱50克鸡汁30克鸡粉20克辣鲜露200克蒸鱼豉油50克调匀即成。","制作方法：
（1）广东嫩线茄2个去皮，切成8厘米长的段，滚刀片成薄片，每片卷入肉馅15克，捏紧。
（2）茄卷拍生粉，入六成热油中火炸至金黄色，捞出控油。
（3）铁板烧热，垫锡纸，放上茄卷。
（4）锅下自制烧汁20克烧热，下入清水15克稀释烧开，勾芡，起锅淋在茄卷上即可上桌。",未发布,
（四川成都宽云窄雨会所创意菜品）橙香雪花牛肉（附自制黑椒汁配方制法）,"特点：
黑椒牛肉外面包一片橙肉，然后用牙签固定，上桌后客人提起牙签，橙肉和牛肉同时入口，橙肉酸甜，牛肉多汁，橙香味与黑椒味相融，非常适合夏季食用。
菜品制作：
曾明东，现任四川成都宽云窄雨会所厨师长。
田长国点评：
橙肉外层的皮发涩发硬，所以我认为可以取大橙子，切片后去掉外皮，然后修成牛肉两倍大的方片，贴身包在牛肉上，效果会更好。","原料：
神户雪花牛肉100克，甜橙1个。
调料：
自制黑椒汁30克，鲜橙汁10克，料酒3克，黑胡椒碎3克，葱姜水5克，盐2克，味精2克。
自制黑椒汁配方制法：
锅下黄油50克烧化，下入姜蓉蒜蓉洋葱蓉各20克炒香，下黑胡椒碎80克小火继续炒香，下入浓汤400克盐3克鸡精2克蒙特牛肉汁10克蚝油5克小火烧开，收浓，勾芡即成。","制作方法：
（1）雪花牛肉改成小块，加鲜橙汁料酒黑胡椒碎姜葱水盐味精腌制30分钟。
（2）不粘锅下黄油烧化，下入牛肉块小火煎至七成熟，倒入自制黑椒汁翻匀，起锅，包入橙片中，用牙签固定即可。",未发布,
（北京西贝莜面村裸烹西北家常菜）功夫鱼（附自制酱料配方与香料袋配比）,"裸烹亮点：
使用腌猪肉油给鲤鱼增加香味并不太常见，腌猪肉油是通过腌制好的猪肥膘炼制出来的，香味是出奇地好。此菜是使用堂烹的形式出菜，客人在明档大锅里挑选自己中意的鲤鱼，厨师将鲤鱼取出后装盘，给客人上桌。鲤鱼要炖制46个小时入味，才能算大功告成，所以称之为功夫鱼。
烹饪理念：
西贝是西北菜的代名词。西贝餐饮集团创业25年，以其独特的西北自然风味，享誉中华，在全国有50多家连锁店，年营业额近15亿。西北菜为何能独步天下，并在北京独树一帜，征服众多食客，这和西贝餐饮集团的董事长贾国龙密不可分。西贝出品的每一道菜都要经过他的检验与审批，菜品要推出食材本味，绝对不能添加任何味精鸡粉等添加剂。近日我们
请西贝西北菜的总策划师，西贝厨师的掌门人贾国龙介绍西贝菜的烹饪理念和成功之道。
中国烹饪有一个原则，叫作有味使之出无味使之入。意思是说，如果食材本身有香味就要把它表现出来，如果没有香味就把味道入进去。这是非常高明的烹调观念，它的前提是天然的食材和自然的调味。
巧的是，现在国际上的烹饪观念也分成了两派，其中一派就是入味派，通过使用各种调味料甚至是化学添加剂来人为改变食材的味道。吃羊肉不觉得是羊肉，吃鸡肉也不觉得是鸡肉，但是很好吃，加工后的食物和本来的原料差距非常大。比如川菜，川菜基本的味型是麻辣，一菜一味，百菜百格，味道非常丰富，但是这些味道其实是调味品的功劳。过去传统川菜的调味品也是天然调味料，现在有些川菜馆味精鸡精用量过大，已经把传统川菜真正的精髓给丢了。
另外一派是原味派，也可以叫作出味派，这一派追求的是本色本味，用简单传统的工艺对原料的本味进行最佳表达。
西贝这一派就属于原味派。我们不希望厨师对我们的原料做大的改变，因为那样的话就有工业化的趋向。西贝厨师的出发点和立足点就是要用传统工艺将原料食材最好的味道和性状表达出来。西北菜追求本色本味，但本色本味不是寡淡无味。事实上，西北菜依靠天然的食材和自然的调味，呈现出的味道是浓郁的厚重的。
简单的加工工艺还能做出好吃的菜，秘诀在哪里呢？答案是原料，是要控制好原料，做好供应链管理。以西贝来说，羊肉是我们最重要的原料，所以西贝的首要工作就是收购到最好的羊肉，然后管理好，最后才是烹调方法。烹饪其实真的没有那么复杂，有了好的原料，你用最传统最地道，通常也是最简单的工艺就能做出好吃的菜肴。如今，科技的发展更是让烹饪这件事变得简单化和标准化。比如我们现在使用的德国烤箱，温度湿度都可以精确控制，有了这个烤箱，你就会发现，美味的囊坑烤肉绝对不是新疆大叔用土炉子烤出来的专利，好原料加高科技，一样可以呈现烤羊肉的最佳风味。事实上，我认为，对于一道美味来说，原料的贡献率为85，工艺的贡献率只有15。很长一段时间，中国的厨师将烹调工艺这件事情给神秘化了，后厨似乎变得高深莫测，这是将简单的事情有意地复杂化了。
考验西贝的地方在于，坚守原味派意味着高成本。更好的原料和更好的设备都意味着更高的成本。对此，我们的解决方案就是高进高出，卖得贵一些。社会上流传的西贝的菜贵，就是由于这个原因。我相信，会有越来越多的客人愿意为真正好的东西买单的。便宜没好货，在吃的问题上，我尤其坚信这一点。
不添加味精鸡精等添加剂不代表菜肴就没有了香味，使用天然香料油脂给菜肴增香，与食材本身的香气同属自然派，味香融合浑然一体，香味更持久。西贝用不同油脂给不同原料增香，增香原理各不一样，厨师朋友看后必有启发。","原料：
活鲤鱼22条。
调料：
A料（色拉油2500克，腌猪肉油750克，五花肉1250克），B料（姜片250克，蒜子1250克，花椒八角各50克，小茴香100克，葱段750克），自制酱料650克，酱油25克，醋500克，香料袋1个，C料（山西陈醋2千克，盐175克），香菜500克，红油10克。
自制酱料配方：
富河辣酱400克，托县辣椒酱250克。
香料袋配比：
白芷20克，草果草蔻各10克，丁香8克，白胡椒粒40克。","制作方法：
（1）锅入A料炒香，下B料炒至其焦黄，入自制酱料小火熬制，放酱油醋熬香，盛入料袋，制成料油。
（2）另起锅，注入开水22千克（有条件的餐厅可以注入高汤），下入料油，入C料，烧开煮半小时，取出料袋，下入鱼（按照尾对尾的形式排好），用筷子将鱼肚打开，使鱼汤进入鱼肚入味，下入香料袋香菜500克，大火烧开，打去浮沫，大火炖半小时，改小火炖46小时。
（3）走菜时捞一条鱼，装盘，淋红油，撒香菜3克装饰上桌即可。",未发布,
（四川成都大蓉和一品天下店创意夏日新菜）合味巴适兔（附自制酸椒水制作）,"特点：
这道菜是我去眉州考察时在当地农家发现的。每到夏天。当地人喜欢用四川本地的酸腌菜，泡椒炒香熬成酸椒水，然后将已上浆的肉类在酸椒水中滑熟，酸辣的口感解腻又清爽。我拷贝了他们的酸椒水制作兔肉。为了丰富口感，我在其中加入了少许香椿苗，成菜有股别致的香气。
菜品制作：
李志强，现任四川成都大蓉和一品天下店行政总厨。","原料：
兔里脊250克，香椿苗100克。
调料：
自制酸椒水1000克酸腌菜100克，盐3克味精2克白胡椒粉2克。
自制酸椒水制作：
锅入菜籽油300克烧至四成热，下入姜蒜末各100克爆香，倒入酸腌菜碎800克野山椒碎350克小火炒干水汽，倒入清水6000克熬20分钟，关火淋入野山椒水1500克拌匀，加盖焖1小时即可，使用时只取汁水，滤去杂质。","制作方法：
（1）兔里脊250克洗净改刀成条，加葱姜水盐生粉拌匀，上浆备用。
（2）锅入酸椒水1000克酸腌菜100克烧至冒鱼眼泡，保持小火，下入兔肉滑2分钟至熟，放入香椿苗100克盐3克味精2克白胡椒粉2克搅匀即可装盘上桌。",未发布,
（四川成都大蓉和一品天下店创意夏日新菜）怪味鱿鱼（附秘制豆豉油配方制作）,"特点：
这是道典型的川味海鲜菜，我将腌制好的鱿鱼整只下入川式红卤水中卤熟，再放入自制豆豉油中浸泡，最后加上卤水汁豆豉油调拌。鱿鱼滋味特别足。
菜品制作：
李志强，现任四川成都大蓉和一品天下店行政总厨。","原料：
鱿鱼200克，蒸好的豇豆段100克，去皮花生20克，香葱段10克。
调料：
卤汤30克秘制豆豉油15克红油5克。
秘制豆豉油配方制作：
锅入混合油2000克（猪油200克菜籽油200克色拉油1200克香料油400克混合调制而成）烧至五成热，下入芽菜碎250克腊八豆豉500克炒香，放入香叶30克八角3个盐15克味精10克熬匀，倒入盆中，放入泡涨的干豇豆段2000克拌匀，覆膜大火蒸30分钟，取下保鲜膜捞出豇豆，余油即为豆豉油。","制作方法：
（1）鲜鱿鱼4000克去膜去牙，洗净后加蔬菜汁800克盐60克葱姜水300克料酒150克拌匀，充分搅打，待汁水颜色变得浑浊，将鱿鱼捞起冲水。
（2）下入川式红卤水中，微火卤10分钟，卤制时汤面不能起泡，否则鱿鱼易老，卤好的鱿鱼捞出沥干汤汁备用。
（3）趁热将卤好的鱿鱼放入秘制豆豉油浸泡20分钟以上即可走菜。
（4）走菜时，取鱿鱼200克改刀成条，加蒸好的豇豆段100克去皮花生20克香葱段10克，淋入卤汤30克豆豉油15克红油5克拌匀即可装盘。",未发布,
（秋冬时令换季菜品暖身锅菜系列）可乐�h排骨（附自制腌料与自制调味汁配方）,"旺销理由：
这道菜由可乐鸡翅演变而来，经过可乐的烧制，排骨香甜软烂，味道很独特。
介绍：
一到秋季，很多酒店都会不约而同地推出大量锅菜。不论是干锅沙锅铁锅客人都会点上一份暖暖身子。
厨艺评论：
应该说这是一道比较适合南方人口味的菜肴，甜味相对来说比较足。从图片看，菜肴的颜色不是特别红亮，略有些发黑，所以建议不要再加入老抽调色。","原料：
排骨350克，土豆300克，香菜2克。
调料：
自制腌料35克，色拉油1千克（约耗60克），可乐500毫升，自制调味汁20克。
自制腌料配方：
生抽10克，绍酒15克，味精鸡精各5克。
自制调味汁配方：
排骨酱10克，生抽5克，老抽1克，味精鸡精各3克。","制作方法：
（1）排骨剁成段，洗净血水，沥干水分，加自制腌料腌渍1小时；土豆去皮，切成滚刀块。
（2）锅内放入色拉油，烧至五成热时，先下入土豆，小火炸至成熟，捞出控油，放入烧热的黑沙煲内。
（3）同样的油温下入排骨，继续用小火浸炸至其表面发硬，捞出控油。
（4）锅内留底油，烧至五成热时，放入排骨，下入可乐与自制调味汁，用小火慢慢加热25分钟，出锅放入垫有土豆的黑沙煲内，撒香菜，上桌加热即可。",未发布,
（秋冬时令换季菜品暖身锅菜系列）逍遥猪尾煲（附秘制卤水料配方）,"旺销理由：
猪尾巴和花生搭配精心调制的汤料烧制，成菜口感香糯，味道鲜美。
介绍：
一到秋季，很多酒店都会不约而同地推出大量锅菜。不论是干锅沙锅铁锅客人都会点上一份暖暖身子。","原料：
猪尾巴250元，花生米200克。
调料：
A料（葱段姜片各5克，料酒15克），蒜子青椒圈红椒圈各10克，秘制卤水料1600克，色拉油80克。
秘制卤水料配方：
老抽八角桂皮各2克，葱姜各15克，干辣椒白糖味精鸡精5克，普通红卤水汁1500克，绍酒15克，排骨酱20克。","制作方法：
（1）猪尾巴刮洗干净，切成长6厘米的段，花生米浸泡一夜。
（2）锅内放入猪尾巴，倒入冷水100克，下入A料，大火烧开，捞出猪尾巴。
（3）锅内放入色拉油50克，烧至五成热时，加秘制卤水料，大火烧开，下入猪尾巴，改小火煮40分钟。
（4）锅内放入花生米，用烧猪尾巴的汤小火煮20分钟。
（5）客人点菜时，取沙锅烧热，放入剩余的色拉油，下入蒜子爆香，将猪尾巴熟的花生米烧猪尾的汤一起放入沙锅内，烧开后下入青椒圈红椒圈上菜。",未发布,
改良版淮安软兜（附秘制软兜汁配方制法）,"介绍：
鳝鱼，大家一定不陌生，哪个酒店没有一两个以此食材为原料的菜品？但很多小厨师对于鳝鱼的宰杀过程多多少少心存疑惑，我们就借一款改良版的淮安软兜，为你带来在老菜新做的基础上，图解鳝鱼的每一步处理过程，希望对你有所帮助。
新思路1精选鳝鱼。
鳝鱼选用笔杆鳝，即粗细约为细毛笔样的鳝鱼，这样的鳝鱼肉质好。精选鳝鱼背，肉质更嫩。新思路2焯水套袋子。
鳝鱼焯水时放在袋子中是避免鳝鱼入水窜出，造成烫伤或原料浪费的情况。
新思路3秘制软兜汁。
这是此菜炒制调味的关键，提前配好，加快出菜速度，不同地域还可根据当地口味进行调制。新思路4油包芡提亮。
勾芡时运用油加湿淀粉，将两者混合，芡汁更妥贴成菜有光泽。","原料：
活鳝鱼500克，圆葱丝200克。
调料：
A料（盐100克香醋80克料酒50克），美极鲜3克，蒜片3克，秘制软兜汁45克，姜丝葱丝红辣椒丝各2克。
秘制软兜汁配方制法：
高汤900克，花雕酒200克，味达美酱油香醋各50克，美极鲜25克，味精老抽鸡汁各100克，糖60克，盐80克，胡椒粉20克混合溶解均匀即可。","制作方法：
（1）锅内加清水1500克，将活鳝鱼500克放入塑料袋中，入鳝鱼烫约2分钟至鳝鱼烫死。
（2）另起净锅，锅中加清水1500克烧开，下入A料，打开袋子，将鳝鱼倒入水中，继续烫制2分钟至鳝鱼缩成小圈后倒出，冲水。
（3）将鳝鱼划成鳝丝，鳝鱼背留用。
（4）锅中入色拉油1千克（约耗20克）烧至三成热油温，下入鳝鱼背，滑油倒出。
（5）锅留底油，将圆葱丝200克炒香，加入美极鲜3克翻炒后倒入容器。
（6）热锅入油4克，加入蒜片3克炒香，下入鳝鱼背，调入秘制软兜汁45克，用湿淀粉15克油4克勾芡，翻炒均匀，出锅装盘，点缀姜丝葱丝红辣椒丝各2克即可。",未发布,
（湖南长沙彭厨餐厅旺销特色家常菜）浅熏腊鲢鱼（附自制腊鲢鱼制作工艺）,"特点：
从市场上买来的腊鲢鱼优点是熏香味浓，缺点是干硬嚼不动。彭大厨改用半熏法，将熏鱼时间由一个星期缩短为3小时，使得表面有嚼劲内部有嫩度，迷人的烟熏味若隐若现。
介绍：
与浏阳稻香村一样，长沙彭厨餐厅也是一家以朴素家常取胜的酒店。彭厨于去年10月28日开业，仅有130个餐位，但每个月的营业额都在60万元以上。每天的就餐时间，不但餐厅里坐得满满当当，就连餐厅外的及檐下也都坐满了人。
谈到彰厨的迅速崛起，董事长彭树唯说：我是做厨师出身的，过去我希望自己做一名有个性的厨师，现在我希望能做成一家有个性的店。餐厅的个性不在于复杂的装修，而在菜里。彭厨餐厅的菜品都由我亲自设计，它们的共同特点是简单，没有太复杂的烹调方法，也没有过多的调料，吃起来却味道十足，顾客们倍感亲切。以我们店里的顶梁柱汁水牛肉为例，吃过的人都说这道菜的香味极浓，很多人问我有什么秘方，其实是大家想复杂了，我压肉时就只加了干黄椒去腥而已。
彭厨餐厅主营土菜，这种朴素的土菜馆有个得天独厚的优势，那就是很多菜品可以提前预制，但预制多了，鲜味就会丧失，如何解决这个矛盾？彭大厨采用了一日两次预制法：即午市和晚市前各预制一次，以保证菜品在当餐的新鲜度。
一日之内预制两次，能用完吗？会不会造成浪费？彭厨餐厅用供不应求法和菜品追踪表两项措施，分别从餐前餐中两个环节杜绝了备料剩余的现象。
所谓供不应求法，即预制时按当餐平均需求量的90来备料，售完即沽清。
平均需求量是在试营业的第二个月得出的，本月客源进入稳定期，得出的数据比较客观。彭大厨将该月的每周分为淡季和旺季两个阶段，周一到周四为淡季，周五到周日为旺季。以肉炒肉为例：
淡季午市平均需求量淡季午市销量总量淡季总天数
旺季晚市平均需求誉二旺季晚市销量总量旺季总天数
菜品追踪表则能快速精准地反映当餐的预制菜品在各时段的剩余量，让总厨及时调整应对方案，有效避免了这些菜品的积压。通常每餐进行四次追踪。
这两条措施有两个好处，一是解决了浪费问题，二是给食客造成一种紧迫感，认为来晚了就吃不上了。
上面几项措施还有个副产品：餐厅生意好，员工还下班早。彭大厨说：我们餐厅坚持限量供应，一个目的是留住食客，另一个目的是留住员工。现在厨房的主力是85后90后，保证他们有充足的业余时间自己支配，他们才会认可这份工作，才能在工作时充满激情。生意这么好还能保证厨房从不加班，也是员工们愿意留在餐厅继续发展的重要原因之一。
黄斌点评：
这道菜可以说是彭大厨应市场需求研发出来的。一是改变了传统腊鲢鱼咬不动的缺点，在老口味老原料的基础上，通过处理方法的改变，将鲢鱼腌出蒜瓣肉再半熏，这样就满足了顾客时腊鲢鱼有初劲有嫩度有熏香的要求。二是这种半熏的方法在保留了熏香味的同时又大大减少鱼与烟接触的时间，在健康上更符合时代的要求。","原料：
自制腊鲢鱼1条（约750克）。
调料：
菜籽油30克，猪油20克，姜末5克，干豆豉10克，黄椒粉20克，高汤500克，葱段大蒜叶各10克。
自制腊鲢鱼制作工艺：
1取重约1斤6两至1斤8两的麻鲢鱼80条，从背部剖开（鱼腹部相连）治净，将鱼平铺在案板上，用盐花椒揉搓均匀，淋少许料酒，码入保鲜盒内，入保鲜冰箱腌3天。
2将腌好的鲢鱼头用铁钩穿起，挂在熏鱼桶顶端的木架上，用米糠燃烧出的细烟熏3小时至表面干爽且肉质微微缩紧，带有淡淡的烟熏味。
3将熏好的鱼晾凉后每条单独装入保鲜袋，放保鲜冰箱保存。","制作方法：
（1）锅入菜籽油30克猪油20克烧至五成热，下入预制好的腊鲢鱼，中火煎至鱼肉略带金黄，下入姜末5克干豆豉10克黄椒粉20克，小火炒香。
（2）向锅内冲入高汤500克，大火烧开，转小火焖15分钟，至锅内汤汁剩原来的一半，下入葱段大蒜叶大火收汁，煮出大蒜叶的香味，关火连鱼带汤一起盛入盆中，配卡式炉上桌。",未发布,
（上海新丽鸿坊海鲜餐厅春季时令菜品）翅汤�绍磔锊耍ǜ教刂瞥崽乐品ǎ�,"推荐理由：
绿色的茼蒿菜盛装在红色的番茄中，看上去赏心悦目，品尝起来也是格外清爽。
菜品制作：
邵晓雷，高级烹调师，现任上海新丽鸿坊海鲜餐厅行政总厨。","用料：
茼蒿菜50克，大番茄1个。
调料：
特制翅汤300克，盐3克。
特制翅汤制法：
1老鸡猪脯猪精肉猪五花肉各2500克，筒骨7500克，腩排3500克，分别斩成大块，入沸水中悼透，捞出原料控净水，再入烧至六成热的色拉油中，小火浸炸至色泽金黄，捞出控油。
2火腿500克放入烤箱内烤至色泽金黄。
3将处理好的原料放入不诱钢桶内，倒入清水60千克炼香的鸡油1500克，大火烧开，改小火慢慢熬制，待汤汁剩余30千克时离火，过滤取汤。","制作方法：
（1）将番茄内心掏空，放入锅内，倒入特制翅汤200克，小火煨15分钟，取出番茄去皮。
（2）去掉茼蒿菜的根部，洗净后放入剩余的翅汤内，加入盐小火煮1分钟，出锅装入番茄碗内。",未发布,
（上海新丽鸿坊海鲜餐厅春季时令菜品）XO酱野蕨菜炒北极蚌（附自制XO酱配方制法）,"推荐理由：
蕨菜是最时令的野菜，搭配XO酱和北极蚌快炒，成品质地脆爽，口味咸鲜微辣。
菜品制作：
邵晓雷，高级烹调师，现任上海新丽鸿坊海鲜餐厅行政总厨。
厨艺评论：
搭配很新颖也很应季，不过菜品看上去有些凌乱，所以建议作者将莴笋改成条或者段，不要切片。","原料：
北极蚌150克，野蕨菜（采用鲜货，味更佳）莴笋各100克。
调料：
自制XO酱15克，姜米湿淀粉各5克，高汤30克，盐味精各3克，色拉油500克（约耗30克）。
自制XO酱配方制法：
1将虾干500克剁碎，炸香；干贝500克加黄酒葱姜蒸透，搓成丝后炸香。
2火腿200克蒸熟，切小粒，炸香；干辣椒100克用开水泡一夜，斩碎。
3蒜末50克用清水冲洗后炸成金黄色。锅内倒入500克色拉油将辣椒碎熬香，倒入所有原料，温火熬制5分钟至出香即可。","制作方法：
（1）野蕨菜先用清水浸泡一会，祛掉野菜的涩味，放入烧至三四成热的色拉油中，小火滑油。
（2）北极蚌对半片开，焯水后冰镇；莴笋片成薄片，用冰水冰镇。
（3）锅内放入色拉油20克，烧至五成热时，放入姜米和XO酱炒香，加入高汤盐味精莴笋蕨菜北极蚌，大火翻炒均匀，淋湿淀粉勾芡，出锅装入容器内。",未发布,
（四川成都地源会馆春季时令菜品）麦香参宝鱼（附自制汤料配方做法）,"推荐理由
味型咸鲜，有轻微的辣味。青麦仁也是春季最时令的食材，搭配蒸好的海参斑一起食用，很有春天的范儿。
菜品制作：
吴杰，现任四川成都地源会馆厨师长。
厨艺评论
青麦仁最好略微炒制，这样香味才能更好地挥发出来。","原料：
海参斑100克，青麦仁40克。
调料：
自制汤料50克，盐0.5克，辣鲜露鸡粉醋白糖各1克，红小米辣圈芝麻油花椒油红油各2克。
自制汤料配方做法：
锅内放入菜子油1千克，烧至四五成热时，放入芽蒜土姜各500克，圆葱小芹菜香菜各200克，红小米椒250克，青小米椒400克，香叶20克，茴香10克，青花椒150克，小火煸炒至原料变成金黄色，倒入鲜汤7500克，大火烧开，改小火熬制1小时，用鸡粉蚝油蒸鱼豉油美极鲜味汁各50克调味，离火后下入芥末10克藤椒油50克调匀即可。","制作方法：
（1）海参斑洗净，放入自制汤料，入蒸箱大火蒸15分钟，出放入盘中。
（2）青麦仁加水蒸熟，控干水分后加入剩余调料调味，放在海参斑上。",未发布,
芽豆�h西江鳝（湖南长沙徐记海鲜酒店春季时令菜品）,"推荐理由：
西江白鳝在这个季节肉质最为肥美，我们将它和有机芽豆一起堂烹，浓郁的香味散发出来，芽豆味道更鲜美。
菜品制作：
李伟标，现任湖南长沙徐记海鲜酒店厨师长。
厨艺评论：
以前烹调白鳝都是直接红烧，口味虽好，但是比较油腻，这道菜将白鳝与有机芽豆一起烹调，缓解了油腻感，还增加了营养价值。堂做的方式可以提升菜肴的附加值，所以我感觉这道菜不错，值得借鉴。","原料：
西江白鳝500克，芽豆200克。
调料：
特制腌料45克，红烧汁色拉油各50克，香菇30克，葱段10克，二汤300克。
特制腌料配方：
黄豆酱20克，盐味精鸡粉各1克，白糖0.5克，味蚝鲜2克，生粉3克，大蒜子4克，生姜片香葱段各5克。","制作方法：
（1）西江白鳝宰杀制净，直刀切成厚1厘米的金钱片，加入特制腌料腌制1小时。
（2）平底锅烧热，放入色拉油，下入白鳝肉，小火两面煎至色泽浅黄。
（3）芽豆洗净，焯水，放入锅内，倒入二汤，小火煨至入味。
（4）客人点菜时，取红烧汁放入沙煲内，下入煎好的西江白鳝香菇葱段和煨至入味的芽豆，大火h制2分钟，上菜即可。",未发布,
（广东省深圳市山海轩会所创新粤菜）泰式田园鹅肝（附自制脆皮浆制法）,"大师说菜：
很多厨师问我：你做的鹅肝球怎么不回软？是秘制了一款脆皮浆吗？没错，鹅肝不回软与我自制的脆皮浆有很大关系，除此之外，还有一个小技巧：炸好的鹅肝球不与泰式甜辣酱一同翻炒，而是单独装盘，上桌前再淋上酱汁，或者把甜辣酱当作蘸碟，与炸好的鹅肝球一同上桌，这样就能减少鹅肝球与酱汁的接触时间，有助于保持其丰满的形态。
大师简介：
余锡强，年轻时深入粤菜最前沿香港事厨，4年后返回广东，在广州深圳两地实践香港所学，目前已在餐饮界打拼了四十一个年头，斩获了中国烹饪大师的称号和20余个头街，现任深圳山海盛宴天然饮食有限公司副总经理，负责八家高端会所的运营管理。
余锡强醉心于经典技术的传承，他还热衷同新一代的厨师打成一片，从厨界新秀身上学习时尚前卫的烹饪元素，并坚持投身于厨房一线阵地，在实战派的粤菜圈子里赢得了强哥的称呼，是粤港澳地区厨界公认的承上启下代表人物。
余锡强每个季度要为八家会所量身设计8本时令菜谱，每本菜谱包括30道时令新品，其中燕鲍翅等为八家会所共用，比重约占15，剩余200多道菜品从选料切配制作装盘都由他一手包办，每道都是原创菜。
现场操作：
伍后德，现任广东深圳山海轩会所行政总厨。","主料：
法国鹅肝50克。
辅料：
黄瓜红黄彩椒共15克。
调料：
自制脆皮浆100克，泰式甜辣酱15克。
自制脆皮浆制法：
将面粉140克生粉25克加清水调匀，再加泡打粉6克和色拉油10克调匀，至用筷子提起呈直线下落为宜，一般掌握在能使主料挂上0.2厘米左右的外衣为好。","制作方法：
（1）法国鹅肝浸入牛奶中自然解冻，取出改刀成花生米大小的块状，裹匀脆皮浆，入六成热油小火浸炸2分钟，捞出控油装入洋葱盏中。
（2）锅留底油，下入所有辅料旺火爆香，倒入泰式甜辣酱炒出酸甜味，出锅淋在鹅肝上即成。",未发布,
（黑龙江伊春市永丰名流会所创新菜品）惹味手剥虾（附特制荔枝汁配方制法）,"特色：
酸甜香辣味浓郁的自制荔枝汁是我们制作这道虾仁的秘密武器，成品外酥里嫩，卖相也不错。
菜品制作：
武雪堂，现在黑龙江伊春市永丰名流会所工作。擅长高档宴会名流会所的营销策划燕鲍翅制作东北野味及山东海鲜。代表菜有泰国大黄翅阿武鲍鱼佛跳墙葱烧海参红扒熊掌。
点评：
这道菜的做法有点类似于川菜的荔枝虾仁，但是调料选择更丰富，所以菜肴口味也更好。在北方，现在流行一道菜叫金瓜虾仁，金瓜制成菱形块，挂上脆皮糊油炸，虾仁也是挂糊油炸，炸好的两种原料在外形上是一模一样的，所以我觉得这道菜也可以降低明虾的用量，同时加入金瓜，这样菜肴的成本和售价都会大幅下降，更利于推广。另外，对于菜品制作提出两点建议：一是在制作荔枝汁时可以增加200克苹果醋，苹果醋可以中和甜味，不会让客人吃完菜肴后产生甜腻的感觉；二是建议把脆皮糊里的油菜丝换成绿茶叶或者薄荷丝。","原料：
明虾250克，油菜丝3克。
调料：
盐3克姜汁酒10克，脆皮糊100克，特制荔枝汁100克。
特制荔枝汁配方制法：
锅内放入味好美番茄沙司1瓶（340克），美极鲜味汁100克，白糖350克，美极番茄辣酱2瓶（340克瓶），番茄酱1千克，李锦记桂林风味辣椒酱1瓶(368克），蒜蓉香菜末各50克小火炒香。","制作方法：
（1）明虾去头和外壳，留尾，加入盐姜汁酒克腌制10分钟，吸干水分，拍生粉。
（2）油菜丝3克放入100克脆皮糊内拌匀。
（3）锅内放入色拉油800克，烧至五成热时，放入裹匀脆皮糊的明虾，小火炸至色泽金黄，捞出控油。
（4）锅内留底油，烧至五成热时，放入荔枝汁100克炒香，倒入明虾，翻拌均匀后装盘。",未发布,
金蒜和味鸡（附特制和味汁配方制法）,"特色：
这道炒鸡块非常有特色。烹调时用炸蒜子和自制的和味汁帮助鸡块入味，成品咸鲜回甜，带有浓郁的蒜香味。
点评：
和味汁的做法非常细致，只是乌醋对于小城市的厨师来说不容易购买，换成香醋比较好，也可以不加。","原料：
鸡腿肉400克，蒜子80克。
调料：
盐3克鸡粉2克料酒10克，生粉30克，特制和味汁100克，熟白芝麻3克。
特制和味汁配方制法：
将乌醋鸡粉各100克，广东米酒2500克，李锦记豆瓣酱1瓶（226克瓶），金兰油膏1瓶（590毫升），冰糖500克，甘草粉50克，白糖150克，生抽300克，万字酱油250克混合均匀，放入锅内小火熬香。","制作方法：
（1）鸡腿肉切成3厘米见方的块；蒜子30克切成薄片。
（2）鸡肉块洗净，加入盐3克鸡粉2克料酒10克拌匀，腌制10分钟。
（3）鸡肉块吸干水分，加入生粉30克拌匀，入烧至五成热的色拉油中，小火浸炸至外皮结壳，捞出控油。
（4）同样油温下，放入大蒜子50克，中火炸至色泽金黄，捞出后再下入切好的蒜片，同样炸至色泽金黄。
（5）锅内留底油，烧至五成热时，放入炸蒜子与和味汁，小火炒香，下入鸡块，中火煸炒2分钟，撒入熟白芝麻和炸蒜片，翻匀出锅。",未发布,
